Country Name,Country,Greenhouse gas emissions,Population,Size
Austria,AT,82773.29,8858775,83879
Belgium,BE,121869.97,11455519,30528
Bulgaria,BG,56689.36,7000039,110370
Cyprus,CY,9885.41,875899,9251
Czechia,CZ,124573.91,10649800,78868
Germany,DE,839715.39,83019213,357376
Denmark,DK,47369.9,5806081,42924
Estonia,EE,14911.25,1324820,45227
Greece,EL,89653.5,10724599,132049
Spain,ES,333669.54,46937060,505944
Finland,FI,55667.9,5517919,338440
France,FR,454842.39,67177636,633186.6
Croatia,HR,24215.97,4076246,56594
Hungary,HU,65290.82,9772756,93011
Ireland,IE,63124.97,4904240,69797
Italy,IT,430778.46,59816673,302073
Lithuania,LT,20740.95,2794184,65286
Luxembourg,LU,12556.8,613894,2586
Latvia,LV,11631.59,1919968,64573
Malta,MT,2693.21,493559,315.4
Netherlands,NL,192731.17,17282163,41540
Poland,PL,393966.33,37972812,312679
Portugal,PT,68032.51,10276617,92226
Romania,RO,114331.93,19414458,238390.7
Sweden,SE,53600.2,10230185,438574
Slovenia,SI,17143.35,2080908,20273
Slovakia,SK,40180.79,5450421,49035
